post_id,post_date,user_id,platform,content_type,category,followers,impressions,likes,comments,shares,engagement_rate,sentiment,year,month,month_name,year_month
100024,2024-05-06,1314,YouTube,Video,Entertainment,25554,165340,13793,3715,675,11.0,Positive,2024,5,May,2024-05
100025,2023-12-29,1423,YouTube,Reel,Fashion,16257,80168,5527,2112,905,10.66,Positive,2023,12,December,2023-12
100026,2022-01-19,3869,Twitter,Video,Travel,29179,43245,2962,439,412,8.82,Positive,2022,1,January,2022-01
100027,2022-01-14,3830,Instagram,Reel,Travel,26427,201936,8061,2461,3279,6.83,Positive,2022,1,January,2022-01
100028,2024-02-26,4929,YouTube,Video,Entertainment,8091,63745,919,1059,458,3.82,Positive,2024,2,February,2024-02
100029,2022-08-23,2829,Instagram,Video,Education,9426,26667,1250,43,402,6.36,Positive,2022,8,August,2022-08
100030,2023-03-07,5294,YouTube,Story,Fashion,10344,2073,49,7,23,3.81,Positive,2023,3,March,2023-03
100031,2023-11-12,3916,Instagram,Story,Fashion,32198,32749,1176,493,262,5.9,Positive,2023,11,November,2023-11
100032,2022-10-04,1133,YouTube,Image,Fashion,13707,59221,6451,824,876,13.76,Neutral,2022,10,October,2022-10
100033,2024-04-26,2683,Facebook,Story,Fashion,11296,23809,457,190,235,3.7,Positive,2024,4,April,2024-04
100034,2022-07-27,3438,Instagram,Image,Technology,21092,35859,1106,186,202,4.17,Negative,2022,7,July,2022-07
100035,2023-03-24,5765,YouTube,Image,Entertainment,15206,40480,2486,102,527,7.7,Positive,2023,3,March,2023-03
100036,2023-02-09,2919,Facebook,Story,Technology,9264,3912,120,31,5,3.99,Neutral,2023,2,February,2023-02
100037,2023-05-17,4222,YouTube,Video,Entertainment,14811,70261,3595,434,253,6.09,Positive,2023,5,May,2023-05
100038,2022-05-24,2405,YouTube,Image,Technology,31748,126994,5611,400,77,4.79,Neutral,2022,5,May,2022-05
100039,2024-06-07,5512,YouTube,Reel,Food,15468,62397,5880,1044,649,12.14,Neutral,2024,6,June,2024-06
100040,2022-02-17,4118,YouTube,Video,Education,25051,242462,12547,1530,5066,7.9,Positive,2022,2,February,2022-02
100041,2023-02-03,3694,Instagram,Reel,Technology,19199,40741,2460,81,70,6.41,Positive,2023,2,February,2023-02
100042,2022-01-16,1368,Instagram,Image,Technology,58718,52723,5163,683,159,11.39,Negative,2022,1,January,2022-01
100043,2022-02-15,1519,Instagram,Reel,Fashion,14791,42967,4473,1002,34,12.82,Positive,2022,2,February,2022-02
100044,2023-10-08,2829,Facebook,Reel,Fashion,33739,81335,3453,819,181,5.47,Positive,2023,10,October,2023-10
100045,2023-04-19,4905,Instagram,Reel,Travel,9133,43263,5986,239,540,15.64,Neutral,2023,4,April,2023-04
100046,2022-10-20,5986,YouTube,Reel,Entertainment,28122,21157,843,218,107,5.52,Positive,2022,10,October,2022-10
100047,2022-08-19,5909,Instagram,Image,Food,34461,162676,6274,408,116,4.18,Negative,2022,8,August,2022-08
100048,2022-08-17,5105,Instagram,Reel,Food,23752,152752,3579,1556,203,3.49,Positive,2022,8,August,2022-08
100049,2024-04-04,2688,Facebook,Video,Travel,27342,78573,1098,180,574,2.36,Neutral,2024,4,April,2024-04
100050,2023-10-14,1453,YouTube,Video,Food,3741,48438,610,63,52,1.5,Positive,2023,10,October,2023-10
100051,2022-10-22,2573,Twitter,Image,Entertainment,14189,29936,706,368,451,5.09,Negative,2022,10,October,2022-10
100052,2024-05-19,2893,Instagram,Reel,Food,8528,8296,557,222,53,10.03,Neutral,2024,5,May,2024-05
100053,2024-01-27,4655,Instagram,Video,Entertainment,10917,67740,6215,1939,69,12.14,Positive,2024,1,January,2024-01
100054,2022-11-10,2247,Facebook,Reel,Education,9134,18491,822,67,157,5.66,Neutral,2022,11,November,2022-11
100055,2023-06-15,2165,Instagram,Video,Travel,16209,21655,865,341,206,6.52,Negative,2023,6,June,2023-06
100056,2022-09-14,5253,Facebook,Image,Fashion,20023,51102,1670,691,45,4.71,Neutral,2022,9,September,2022-09
100057,2024-02-06,1134,Facebook,Reel,Food,16543,7482,366,26,52,5.93,Positive,2024,2,February,2024-02
100058,2022-02-18,3589,YouTube,Image,Entertainment,48617,29713,729,76,92,3.02,Positive,2022,2,February,2022-02
100059,2023-01-20,4137,Instagram,Story,Travel,15687,25055,655,67,14,2.94,Positive,2023,1,January,2023-01
100060,2022-02-19,3082,Instagram,Reel,Fashion,16889,63864,4454,464,287,8.15,Neutral,2022,2,February,2022-02
100061,2024-01-14,2897,Instagram,Story,Travel,15632,11221,704,30,90,7.34,Positive,2024,1,January,2024-01
100062,2023-07-22,4892,Instagram,Video,Fashion,22063,67186,1706,1019,285,4.48,Positive,2023,7,July,2023-07
100063,2023-03-20,3550,Facebook,Image,Food,57441,59139,2126,389,245,4.67,Neutral,2023,3,March,2023-03
100064,2022-01-30,2877,YouTube,Video,Food,19905,92675,5059,296,116,5.9,Positive,2022,1,January,2022-01
100065,2022-11-30,5951,YouTube,Image,Fashion,42429,20770,956,641,19,7.78,Neutral,2022,11,November,2022-11
100066,2022-12-31,3219,Facebook,Reel,Food,21100,14108,538,373,31,6.68,Neutral,2022,12,December,2022-12
100067,2022-02-04,1127,YouTube,Image,Entertainment,20809,91212,3147,2138,582,6.43,Positive,2022,2,February,2022-02
100068,2022-09-25,1713,YouTube,Reel,Technology,59327,105405,5394,1384,89,6.51,Positive,2022,9,September,2022-09
100069,2023-08-24,5477,Facebook,Video,Education,6648,33728,1533,222,348,6.24,Negative,2023,8,August,2023-08
100070,2023-07-12,4225,YouTube,Video,Travel,74080,62554,2987,2404,387,9.24,Positive,2023,7,July,2023-07
100071,2024-03-24,1650,Twitter,Story,Fashion,12264,31285,577,283,60,2.94,Positive,2024,3,March,2024-03
100072,2024-01-23,1382,Instagram,Video,Education,25024,90626,2397,3706,327,7.1,Positive,2024,1,January,2024-01
100073,2023-10-01,4425,Instagram,Video,Entertainment,4476,39520,1344,128,304,4.49,Positive,2023,10,October,2023-10
100074,2023-01-09,1819,Instagram,Image,Travel,6390,15978,466,368,262,6.86,Neutral,2023,1,January,2023-01
100075,2023-12-18,2310,Twitter,Reel,Food,4752,15567,802,81,20,5.8,Neutral,2023,12,December,2023-12
100076,2024-06-05,1363,Facebook,Image,Entertainment,105688,151109,5668,903,498,4.68,Positive,2024,6,June,2024-06
100077,2022-05-08,2510,Instagram,Video,Entertainment,47166,269954,12327,3212,332,5.88,Negative,2022,5,May,2022-05
100078,2023-06-26,4647,YouTube,Image,Travel,27403,90386,2080,373,271,3.01,Positive,2023,6,June,2023-06
100079,2022-05-29,4111,Twitter,Reel,Education,20045,65248,2825,691,54,5.47,Neutral,2022,5,May,2022-05
100080,2022-11-23,3140,Twitter,Video,Travel,26759,19697,535,93,183,4.12,Neutral,2022,11,November,2022-11
100081,2023-12-29,3534,Instagram,Reel,Technology,7000,34090,2239,182,140,7.51,Positive,2023,12,December,2023-12
100082,2022-05-17,5229,Instagram,Image,Education,8914,8099,335,64,66,5.74,Positive,2022,5,May,2022-05
100083,2023-02-17,5205,Instagram,Image,Education,20772,38050,1792,135,40,5.17,Neutral,2023,2,February,2023-02
100084,2022-11-25,1446,YouTube,Video,Entertainment,20746,120832,4041,1148,321,4.56,Positive,2022,11,November,2022-11
100085,2023-12-14,4180,Facebook,Video,Food,33561,100347,2855,713,694,4.25,Positive,2023,12,December,2023-12
100086,2022-09-30,1035,Instagram,Reel,Education,16613,85362,7051,371,463,9.24,Neutral,2022,9,September,2022-09
100087,2024-02-02,3836,YouTube,Reel,Food,33434,462581,26105,2967,4625,7.28,Positive,2024,2,February,2024-02
100088,2023-05-30,1102,YouTube,Image,Travel,10112,32773,1394,487,97,6.04,Neutral,2023,5,May,2023-05
100089,2024-01-02,5983,Twitter,Image,Food,19508,2084,56,29,3,4.22,Neutral,2024,1,January,2024-01
100090,2022-09-29,5768,Instagram,Image,Entertainment,12897,59937,1398,158,336,3.16,Neutral,2022,9,September,2022-09
100091,2022-05-26,2659,Instagram,Video,Entertainment,42441,79301,1846,1084,70,3.78,Positive,2022,5,May,2022-05
100092,2023-04-08,3121,Instagram,Story,Food,10596,29054,599,128,89,2.81,Positive,2023,4,April,2023-04
100093,2023-08-16,5568,YouTube,Video,Entertainment,9901,89552,3217,1214,321,5.31,Neutral,2023,8,August,2023-08
100094,2023-04-16,3202,YouTube,Reel,Travel,30954,298597,12450,8632,932,7.37,Positive,2023,4,April,2023-04
100095,2023-12-08,5662,YouTube,Image,Education,27262,81786,1146,183,51,1.69,Neutral,2023,12,December,2023-12
100096,2024-06-24,2442,Twitter,Video,Fashion,15561,24104,1093,57,32,4.9,Negative,2024,6,June,2024-06
100097,2024-03-13,4455,Instagram,Image,Education,9002,20670,409,176,11,2.88,Neutral,2024,3,March,2024-03
100098,2023-06-13,2473,YouTube,Story,Food,81214,85641,961,868,417,2.62,Positive,2023,6,June,2023-06
100099,2023-02-18,2876,Twitter,Video,Food,19415,143572,3277,994,39,3.0,Positive,2023,2,February,2023-02
100100,2024-01-03,4943,Instagram,Reel,Technology,15248,91617,6331,795,547,8.38,Neutral,2024,1,January,2024-01
100101,2022-08-09,4676,Instagram,Reel,Education,60919,208560,10904,6715,3641,10.19,Negative,2022,8,August,2022-08
100102,2023-06-26,3073,Twitter,Video,Technology,31781,81292,3443,1539,201,6.38,Positive,2023,6,June,2023-06
100103,2023-06-28,1878,YouTube,Video,Entertainment,30498,101169,10163,591,42,10.67,Positive,2023,6,June,2023-06
100104,2022-02-15,5991,Twitter,Image,Food,44626,61525,3069,376,1079,7.35,Neutral,2022,2,February,2022-02
100105,2022-09-06,3695,YouTube,Image,Technology,5578,23094,1640,124,15,7.7,Negative,2022,9,September,2022-09
100106,2024-03-03,1452,Twitter,Image,Food,24633,29908,699,158,62,3.07,Positive,2024,3,March,2024-03
100107,2023-12-01,1436,YouTube,Image,Technology,23272,34771,777,500,243,4.37,Neutral,2023,12,December,2023-12
100108,2023-02-05,3150,Instagram,Video,Entertainment,45103,271794,8398,2388,844,4.28,Positive,2023,2,February,2023-02
100109,2023-09-18,3685,Facebook,Reel,Entertainment,9545,40590,4255,939,585,14.24,Neutral,2023,9,September,2023-09
100110,2023-10-04,5986,YouTube,Reel,Travel,24804,92069,4295,280,1867,7.0,Neutral,2023,10,October,2023-10
100111,2023-03-05,5820,Instagram,Video,Food,10292,49884,1654,303,226,4.38,Positive,2023,3,March,2023-03
100112,2023-04-15,2476,Facebook,Reel,Fashion,14615,95510,8425,2592,116,11.66,Negative,2023,4,April,2023-04
100113,2023-02-24,4578,Instagram,Image,Food,30392,67125,2282,615,18,4.34,Negative,2023,2,February,2023-02
100114,2023-09-28,3534,YouTube,Reel,Education,28852,20714,1451,229,185,9.0,Neutral,2023,9,September,2023-09
100115,2023-07-31,4985,Facebook,Video,Technology,5915,11811,399,86,18,4.26,Positive,2023,7,July,2023-07
100116,2024-06-20,2734,Facebook,Video,Education,41425,151951,6080,1321,1368,5.77,Neutral,2024,6,June,2024-06
100117,2022-01-15,3694,Twitter,Story,Food,34246,34488,1226,223,157,4.66,Positive,2022,1,January,2022-01
100118,2024-03-29,5247,Instagram,Reel,Fashion,30302,239779,7892,779,802,3.95,Neutral,2024,3,March,2024-03
100119,2024-03-11,1242,Instagram,Video,Entertainment,3188,2568,83,34,52,6.58,Positive,2024,3,March,2024-03
100120,2022-03-07,4167,Instagram,Story,Education,13536,37179,1489,718,124,6.27,Positive,2022,3,March,2022-03
100121,2022-03-11,5692,YouTube,Image,Food,29689,112580,3537,363,260,3.7,Positive,2022,3,March,2022-03
100122,2024-01-09,4795,YouTube,Video,Fashion,22021,221776,6243,528,96,3.1,Neutral,2024,1,January,2024-01
100123,2023-01-16,2920,Twitter,Reel,Food,25137,117355,5213,1121,595,5.9,Neutral,2023,1,January,2023-01
100124,2022-09-12,2644,YouTube,Image,Entertainment,10482,15395,186,56,7,1.62,Positive,2022,9,September,2022-09
100125,2022-12-29,5893,Facebook,Video,Fashion,66359,34218,2196,156,452,8.19,Neutral,2022,12,December,2022-12
100126,2024-01-10,1149,Instagram,Image,Technology,13441,11592,743,239,9,8.55,Positive,2024,1,January,2024-01
100127,2022-11-03,2385,YouTube,Image,Food,12442,57933,1121,84,387,2.75,Neutral,2022,11,November,2022-11
100128,2024-04-20,5579,Instagram,Video,Technology,17927,172638,5783,862,6265,7.48,Neutral,2024,4,April,2024-04
100129,2024-04-24,2317,Instagram,Image,Fashion,137049,233239,7369,3275,554,4.8,Positive,2024,4,April,2024-04
100130,2023-07-23,1603,Twitter,Story,Food,13866,7460,201,31,8,3.22,Negative,2023,7,July,2023-07
100131,2022-08-21,1756,Instagram,Image,Fashion,21278,65886,2287,687,23,4.55,Neutral,2022,8,August,2022-08
100132,2024-06-25,2468,Instagram,Video,Travel,98613,378570,21086,2101,306,6.21,Neutral,2024,6,June,2024-06
100133,2023-09-19,5103,Twitter,Image,Fashion,9383,11067,257,47,6,2.8,Neutral,2023,9,September,2023-09
100134,2022-08-21,4855,YouTube,Video,Education,10630,52614,3998,458,248,8.94,Neutral,2022,8,August,2022-08
100135,2024-05-28,4733,Facebook,Video,Education,20154,51675,1641,448,13,4.07,Positive,2024,5,May,2024-05
100136,2022-08-21,5964,Instagram,Reel,Entertainment,18108,10349,201,72,154,4.13,Neutral,2022,8,August,2022-08
100137,2024-03-14,3576,Facebook,Image,Entertainment,52016,125562,4489,1414,1839,6.17,Neutral,2024,3,March,2024-03
100138,2023-07-23,2544,Instagram,Reel,Food,26415,10587,294,136,61,4.64,Neutral,2023,7,July,2023-07
100139,2023-08-31,2827,YouTube,Reel,Education,5400,34640,2523,114,798,9.92,Neutral,2023,8,August,2023-08
100140,2023-04-08,5822,YouTube,Video,Fashion,38042,444127,23323,4268,1048,6.45,Positive,2023,4,April,2023-04
100141,2022-01-31,4437,Instagram,Image,Food,21226,7108,170,22,24,3.04,Neutral,2022,1,January,2022-01
100142,2022-10-09,2353,Instagram,Image,Education,30454,36864,880,475,531,5.12,Positive,2022,10,October,2022-10
100143,2022-04-12,4741,Facebook,Video,Technology,19769,37762,2068,248,472,7.38,Negative,2022,4,April,2022-04
100144,2024-02-14,5048,YouTube,Video,Education,28446,59441,1009,404,197,2.71,Neutral,2024,2,February,2024-02
100145,2022-04-24,2552,Facebook,Story,Technology,20716,35146,2140,866,54,8.71,Neutral,2022,4,April,2022-04
100146,2023-08-16,1424,Facebook,Video,Entertainment,31957,112617,2209,345,348,2.58,Positive,2023,8,August,2023-08
100147,2023-01-27,5171,Instagram,Image,Technology,15161,51793,1220,844,230,4.43,Positive,2023,1,January,2023-01
100148,2023-01-24,1280,Instagram,Image,Education,19378,42297,1451,266,49,4.18,Negative,2023,1,January,2023-01
100149,2023-07-28,1036,YouTube,Video,Fashion,10636,20848,424,447,122,4.76,Positive,2023,7,July,2023-07
100150,2023-10-06,2626,YouTube,Image,Travel,41381,93705,3009,156,870,4.31,Neutral,2023,10,October,2023-10
100151,2022-05-15,3218,Facebook,Image,Technology,16795,35749,776,386,219,3.86,Neutral,2022,5,May,2022-05
100152,2024-02-18,4458,Facebook,Image,Technology,2398,12062,202,87,39,2.72,Neutral,2024,2,February,2024-02
100153,2022-10-20,4477,Facebook,Story,Travel,59034,98049,2948,625,208,3.86,Negative,2022,10,October,2022-10
100154,2023-05-12,3086,Instagram,Image,Entertainment,23506,89334,1662,462,1085,3.59,Positive,2023,5,May,2023-05
100155,2022-02-07,4390,Twitter,Image,Entertainment,7255,13424,488,11,57,4.14,Positive,2022,2,February,2022-02
100156,2022-04-02,1549,Twitter,Video,Travel,4969,18293,372,130,23,2.87,Neutral,2022,4,April,2022-04
100157,2023-05-17,5605,Instagram,Video,Technology,83267,259972,13215,2122,228,5.99,Positive,2023,5,May,2023-05
100158,2022-11-14,4875,Instagram,Story,Travel,16354,33606,1088,180,411,5.0,Neutral,2022,11,November,2022-11
100159,2023-07-23,2916,Instagram,Image,Food,8583,55446,1527,408,295,4.02,Neutral,2023,7,July,2023-07
100160,2022-08-01,5366,YouTube,Reel,Technology,20080,50162,2386,249,626,6.5,Positive,2022,8,August,2022-08
100161,2023-07-13,3558,Facebook,Story,Fashion,32332,9353,176,40,6,2.37,Positive,2023,7,July,2023-07
100162,2023-01-02,2036,Twitter,Image,Entertainment,16578,30183,1254,238,28,5.04,Positive,2023,1,January,2023-01
100163,2023-05-24,3156,Twitter,Image,Technology,27049,54402,1673,429,271,4.36,Positive,2023,5,May,2023-05
100164,2022-08-17,3350,Instagram,Story,Fashion,19828,45157,1516,200,64,3.94,Negative,2022,8,August,2022-08
100165,2024-06-30,3852,Instagram,Video,Food,11787,33149,825,115,49,2.98,Neutral,2024,6,June,2024-06
100166,2022-06-19,1824,Twitter,Image,Food,7339,11652,625,57,147,7.11,Neutral,2022,6,June,2022-06
100167,2023-07-26,5904,Facebook,Video,Education,16615,60288,2584,727,193,5.81,Negative,2023,7,July,2023-07
100168,2022-12-23,1873,Instagram,Video,Entertainment,14448,32316,3259,167,31,10.7,Neutral,2022,12,December,2022-12
100169,2022-12-12,4172,YouTube,Video,Education,9366,85373,3742,293,158,4.91,Neutral,2022,12,December,2022-12
100170,2023-06-14,1377,YouTube,Image,Travel,8569,5733,112,39,14,2.88,Negative,2023,6,June,2023-06
100171,2023-10-31,2142,Instagram,Story,Education,6624,13117,571,48,81,5.34,Neutral,2023,10,October,2023-10
100172,2023-10-20,2137,Instagram,Story,Entertainment,14999,33070,826,140,15,2.97,Neutral,2023,10,October,2023-10
100173,2022-10-27,5746,Instagram,Video,Technology,21574,11371,196,67,59,2.83,Positive,2022,10,October,2022-10
100174,2024-02-01,2596,Twitter,Image,Food,5826,12443,333,92,153,4.65,Positive,2024,2,February,2024-02
100175,2022-07-26,3094,Facebook,Reel,Travel,23039,63606,5067,161,849,9.55,Neutral,2022,7,July,2022-07
100176,2023-01-10,4992,YouTube,Reel,Travel,7998,47108,2360,270,32,5.65,Positive,2023,1,January,2023-01
100177,2024-05-12,5784,Facebook,Image,Food,5305,983,43,24,10,7.83,Negative,2024,5,May,2024-05
100178,2022-02-26,3027,Instagram,Reel,Fashion,31875,146758,2234,637,738,2.46,Neutral,2022,2,February,2022-02
100179,2023-07-28,2772,Facebook,Reel,Technology,78564,389748,15394,5600,6918,7.16,Positive,2023,7,July,2023-07
100180,2023-03-03,1213,Twitter,Video,Food,34867,51899,1834,377,1562,7.27,Neutral,2023,3,March,2023-03
100181,2023-11-15,5759,Instagram,Reel,Travel,32701,128919,4756,1929,462,5.54,Negative,2023,11,November,2023-11
100182,2024-04-06,5680,YouTube,Image,Fashion,34019,157873,10404,1389,648,7.88,Positive,2024,4,April,2024-04
100183,2022-05-05,4063,Facebook,Story,Travel,14184,24637,779,301,231,5.32,Positive,2022,5,May,2022-05
100184,2023-07-27,3311,Instagram,Reel,Food,9500,34094,1749,441,248,7.15,Neutral,2023,7,July,2023-07
100185,2024-05-12,1909,YouTube,Video,Fashion,11358,39456,822,219,27,2.71,Negative,2024,5,May,2024-05
100186,2022-11-24,5724,Instagram,Video,Fashion,13259,77568,6010,303,2011,10.73,Neutral,2022,11,November,2022-11
100187,2023-05-02,3099,Facebook,Reel,Education,14219,15942,836,166,258,7.9,Neutral,2023,5,May,2023-05
100188,2023-02-03,2484,Twitter,Video,Food,13149,31405,1892,935,1039,12.31,Positive,2023,2,February,2023-02
100189,2024-05-12,4297,Instagram,Reel,Food,18140,11155,600,177,50,7.41,Negative,2024,5,May,2024-05
100190,2024-02-22,1368,Instagram,Image,Entertainment,29396,31506,1228,160,153,4.89,Positive,2024,2,February,2024-02
100191,2023-08-04,5090,Instagram,Image,Travel,23541,60377,1959,694,164,4.67,Positive,2023,8,August,2023-08
100192,2023-12-02,5411,YouTube,Video,Food,5769,35695,1577,303,87,5.51,Positive,2023,12,December,2023-12
100193,2022-05-01,3868,YouTube,Image,Travel,9740,54867,738,804,80,2.96,Neutral,2022,5,May,2022-05
100194,2024-01-04,4480,Instagram,Image,Entertainment,16320,23259,546,7,3,2.39,Negative,2024,1,January,2024-01
100195,2024-03-07,4306,Facebook,Reel,Technology,11531,35056,2317,385,78,7.93,Neutral,2024,3,March,2024-03
100196,2023-03-01,4689,Instagram,Image,Travel,18660,42502,2419,297,234,6.94,Negative,2023,3,March,2023-03
100197,2022-12-01,3367,Instagram,Reel,Fashion,29001,24877,1938,141,190,9.12,Negative,2022,12,December,2022-12
100198,2022-07-02,4472,YouTube,Image,Travel,36595,75230,2643,761,451,5.12,Positive,2022,7,July,2022-07
100199,2022-01-22,2179,Instagram,Image,Food,19136,48063,859,314,613,3.72,Positive,2022,1,January,2022-01
100200,2022-12-17,3930,Twitter,Image,Food,24700,44846,1778,529,274,5.76,Positive,2022,12,December,2022-12
100201,2023-12-17,4829,Facebook,Reel,Entertainment,53581,174900,6891,1478,338,4.98,Neutral,2023,12,December,2023-12
100202,2022-12-02,3655,YouTube,Image,Education,7844,33001,1263,132,7,4.25,Positive,2022,12,December,2022-12
100203,2022-07-25,1613,Instagram,Story,Fashion,90300,259000,3679,1366,824,2.27,Negative,2022,7,July,2022-07
100204,2024-06-14,1213,Facebook,Reel,Food,15194,70942,1916,784,10,3.82,Neutral,2024,6,June,2024-06
100205,2024-06-17,3903,Instagram,Video,Entertainment,23105,145194,6355,266,2400,6.21,Neutral,2024,6,June,2024-06
100206,2023-12-27,1513,Twitter,Image,Education,6899,7427,676,234,26,12.6,Positive,2023,12,December,2023-12
100207,2023-04-14,1642,Instagram,Story,Entertainment,13985,7228,145,4,52,2.78,Positive,2023,4,April,2023-04
100208,2023-10-27,2266,Facebook,Video,Fashion,15268,72959,2046,1312,994,5.96,Neutral,2023,10,October,2023-10
100209,2023-09-28,3192,YouTube,Image,Entertainment,44588,151853,9477,2219,629,8.12,Negative,2023,9,September,2023-09
100210,2023-03-15,2498,Twitter,Image,Fashion,80399,83468,4574,513,1636,8.05,Negative,2023,3,March,2023-03
100211,2022-10-28,3066,YouTube,Video,Travel,26091,73710,2590,183,209,4.05,Neutral,2022,10,October,2022-10
100212,2022-05-25,2870,YouTube,Video,Education,12590,23871,1037,111,59,5.06,Neutral,2022,5,May,2022-05
100213,2024-01-27,4995,Instagram,Reel,Travel,17238,17799,817,63,80,5.39,Neutral,2024,1,January,2024-01
100214,2022-05-20,4035,Instagram,Reel,Technology,6775,25393,1186,249,262,6.68,Positive,2022,5,May,2022-05
100215,2024-03-14,5566,YouTube,Reel,Travel,27735,122176,4365,2163,21,5.36,Positive,2024,3,March,2024-03
100216,2023-07-06,3666,YouTube,Video,Travel,28649,149588,4165,2668,411,4.84,Neutral,2023,7,July,2023-07
100217,2024-04-15,1834,Twitter,Reel,Education,7149,7053,434,10,59,7.13,Positive,2024,4,April,2024-04
100218,2023-06-10,4432,YouTube,Image,Technology,9314,23572,1854,30,509,10.15,Positive,2023,6,June,2023-06
100219,2022-08-17,5933,Facebook,Video,Education,49941,101030,3126,654,24,3.77,Neutral,2022,8,August,2022-08
100220,2024-06-06,5774,Instagram,Video,Travel,76204,167447,26689,8029,1125,21.41,Positive,2024,6,June,2024-06
100221,2022-08-31,4341,Instagram,Image,Travel,25498,17113,857,380,124,7.95,Positive,2022,8,August,2022-08
100222,2024-06-04,2900,YouTube,Reel,Fashion,29792,74860,4050,587,204,6.47,Neutral,2024,6,June,2024-06
100223,2024-01-06,1431,Instagram,Video,Fashion,32914,69135,2732,248,1316,6.21,Positive,2024,1,January,2024-01
100224,2023-03-27,1073,Facebook,Reel,Travel,35164,182880,7335,1751,373,5.17,Negative,2023,3,March,2023-03
100225,2023-04-08,3814,YouTube,Reel,Technology,18986,166573,9943,757,1566,7.36,Negative,2023,4,April,2023-04
100226,2023-05-11,1845,Instagram,Image,Travel,39547,44046,1735,268,111,4.8,Positive,2023,5,May,2023-05
100227,2024-02-01,3175,Facebook,Video,Entertainment,26970,100214,2208,235,657,3.09,Positive,2024,2,February,2024-02
100228,2023-07-10,3271,Instagram,Video,Food,19986,162278,10869,2578,265,8.45,Neutral,2023,7,July,2023-07
100229,2023-01-15,1384,Instagram,Video,Technology,9595,5112,92,48,14,3.01,Neutral,2023,1,January,2023-01
100230,2022-03-06,5697,YouTube,Image,Travel,7220,5912,192,30,12,3.96,Neutral,2022,3,March,2022-03
100231,2022-12-13,3498,Instagram,Story,Entertainment,3818,15906,299,56,110,2.92,Negative,2022,12,December,2022-12
100232,2024-01-03,3501,Twitter,Video,Entertainment,6136,11842,232,148,16,3.34,Positive,2024,1,January,2024-01
100233,2023-03-13,5624,Instagram,Video,Technology,3422,23598,802,266,243,5.56,Neutral,2023,3,March,2023-03
100234,2022-11-02,3260,Facebook,Video,Fashion,2679,10891,896,137,33,9.79,Neutral,2022,11,November,2022-11
100235,2023-09-08,2664,Twitter,Story,Food,20334,5402,117,4,10,2.43,Neutral,2023,9,September,2023-09
100236,2023-09-02,1262,Twitter,Image,Food,6358,15389,603,75,23,4.56,Positive,2023,9,September,2023-09
